actual,predicted
949,589019.534897
33588,325440.800229
5936,299262.922449
164,-11480.8754101
17806,425725.295675
5000,735928.684692
1524,-67098.7782489
47810,186383.179313
18512,1234642.69481
1161,1188688.12375
104563,1567438.7551
5534,1894733.00697
242386,927414.854801
4365,3804675.16541
244,198292.654917
1004,550154.705876
36239,600170.628494
43587,1581619.68417
264798,799567.09432
535,-290949.084595
633,1794574.39851
15548,1306804.4268
1017,419366.22555
4130,257396.777865
48068,820499.14919
412,1041325.90387
35132,889626.256879
553,1601734.54605
569,905213.09529
1289,1080486.93634
1379,187020.026726
887,204777.553143
11890,349301.080499
209,257932.184756
32235547,666871.132609
9921,468970.699417
2214,193842.56661
792,-43646.4785355
87,268046.970744
50741,727278.582105
1540,-3485.58043127
204360,1159506.47982
3824,981242.048289
7181,387212.238177
194,-148397.19983
1132,733284.921923
8406,453605.688051
1459,251769.670869
10588,198600.13437
8452,1303430.95168
485,691143.114908
2855,439584.35386
245,-77283.1796196
19114499,246332.687451
3135,200539.436257
108,678661.429202
23980,1351243.15372
14775,672681.430051
645,317566.1545
6318262,665656.946448
24639,692266.308121
3915,693024.979602
56150033,460691.440205
197,295837.418068
20577,1086039.15083
1776,272776.55569
596,-8231.74602345
13701,197118.651345
1179,1759352.26105
4835955,2002916.2433
590,843959.347953
641,52351.2838032
3407,773205.007671
409,232452.320501
3573,1884547.00955
122698,519663.165367
978,1289665.90717
6801,982760.650218
223144,126416.758379
12280,957333.639013
53432329,1112540.46425
1338,-156078.897844
11944120,1575758.45248
100181,1627612.53727
769,1821171.34294
499275,630397.869219
1125,746454.969485
521,601730.695014
1484,1505763.62645
835,803524.928266
1538,664395.713075
389,1147464.94667
401,-226851.029223
98830,1718898.26709
6790444,4846277.91215
4807,489364.425388
137455,246343.914218
414,601047.548737
3511,376351.142958
103,597143.019621
440,798854.240079
599,2648667.85287
1533,-335875.145499
470,548245.611809
13722,1037732.90793
179579,556959.44447
237000,131217.151579
149,151745.682997
2516,152833.510314
5602918,1361745.14088
351,1167146.28032
51889,412284.088134
11059185,387077.001613
437615,665799.1141
16139,1759997.94649
12958,1288170.26568
1691102,657169.119478
277022,446881.836372
475,501698.6104
317332,1384497.84489
3063,1005217.40923
14894,1338789.90618
739,548111.603972
355326,1746633.85229
1305,968177.704053
91,111187.301061
161,390213.487547
619,-315800.283152
4581,2520455.98501
106,574972.724766
2307,388393.213342
1288,770191.373957
1733130,1533429.11837
84118,551860.105226
136,343185.843738
608,221342.25818
1348,240637.354984
204,-4829.82084685
199,450101.690864
1157,3217392.29339
105090,497921.316953
12801,1542296.62251
27760,65752.4763315
1224,71455.9032653
6825,2945265.78508
138266549,2504782.64012
1388,1080657.62492
766,-254956.323636
7708,-837012.542553
3522,240145.853696
1763,992952.730909
132,75339.7338012
3513,590071.098887
1032,574818.628133
426,466500.63795
151825,1535049.34397
30617,348375.317095
742,-284139.605615
8754,659331.740842
3165,741174.087507
228,377386.386384
138,74403.0012488
347584,379451.172203
96723,969115.374833
127117,862338.883433
36733,856915.204252
2515670,1379271.00861
3012,273996.804911
3055,814927.932846
311,1042950.5744
8452,1392820.67208
337386,589421.640383
1731,793148.210994
400,51953.0829956
391,402951.453348
229,2257011.1901
467,454341.380729
86313,98182.1113996
6829,4280511.42285
9833,1631330.4444
7139,-124845.868024
23251,1691459.57006
1815,770323.884288
1295,1800260.80369
9737618,969830.687695
13122,1027392.83933
6501,-181675.479195
793,-232101.975527
7835,1392250.28113
1029,76203.3243244
76299,51062.0253618
782,-50861.9117935
668,300066.89944
171080,2975829.05665
620676,651138.32212
498,5425.3375646
787,582304.592079
911,602128.549828
4372,408524.63695
983,1410916.11884
313,491647.245386
275,809586.135743
20958449,866324.5576
1960,1193983.76687
2266,698480.477717
957,999863.37798
2003,1775427.36219
7268,694388.699885
6037505,745539.068364
64,22066.4968366
84641,2056263.29984
31433,-61363.520735
3299,1780786.39761
7514,582127.060526
173,506101.869995
109,444116.894878
109681,1016685.05415
46110739,1935000.2326
166649,-56912.7000514
939,883323.926649
2771,556686.439605
21368,819763.726183
134,657959.290088
1486,871691.665534
447,175291.196162
4533,469393.807328
352,720787.676854
4994,1611661.32044
636,726413.237888
2987,847879.751778
830,571930.990281
415842,2426268.72029
108,1795361.45007
1303,493935.269272
216,590474.012352
1443,737296.019942
570,898639.781283
339568,1470341.89381
3223,2385869.83901
72280,472418.601533
1272,884384.230536
3531,1667389.23716
114141,1150631.41341
0,2008027.7412
3826,1033236.81145
81673,1100316.33519
1343,1162245.77935
9237,-280686.627141
9067,858106.964724
50037,438883.888751
981,410966.67192
130,-160106.387387
370,61198.5035967
993,922914.014839
2296802,2004506.25439
2938,587531.246536
72998,44090.4372492
471,1838813.35708
27225,1794564.67415
3498,30150.8403049
5244,782257.447362
530596,666874.967785
432,314120.621852
866,1360034.54447
2636,1185880.18992
24576,536349.88924
313,1064716.03465
533,782318.136138
1022,1169721.0214
427,323950.068511
135708,231351.596701
1314,553672.36549
25266348,1580710.80365
255462,1020058.50897
61552,1014323.78373
4155,304876.977471
864981,84577.3029642
142,496161.666673
858,262854.865342
113,1013267.2787
99987,1289473.15442
75000,663170.885456
2493842,1333461.24741
1593,378059.792791
965,695511.741188
19197,446224.321522
467,-100330.36688
346404,608035.68845
1325,-168103.807295
7514,260140.179431
620,64069.1692935
1565,384122.780032
96092,1964102.58175
890,399057.64097
3003,-459900.283406
3893,2774466.55392
1032,212516.88918
205,967883.894037
182,1509786.85518
18624,731691.441217
16037533,587032.951131
1639,1142415.06339
28860,200201.953848
608,851966.88295
10588,460029.810787
384,519458.354536
1291,2178696.09783
1264,448580.462188
368,-104401.321696
960147,305327.729715
416,159968.231993
1663,872948.626808
12510,854311.317822
5214,1762015.55835
5165,947713.850375
250,1162504.39316
14465,562478.542775
924,453694.236429
3694,-157456.955909
1291,582850.50435
1493,569491.273269
18952,561678.114458
3766,317305.489288
4829,-147143.907783
10864,608517.717049
3315,921739.519515
10264,1799283.13585
554,2027033.2453
80156,375038.452007
