actual,predicted
1811,423.742067567
582870,809.100131964
844,3811.46202332
1751,8387.95609624
1395,1871.87180602
1738,877.446805173
2655,2682.0489893
116,551.275625617
713,2968.75850334
9155,767.481347541
693956,4932.23493326
7490,-43.1430787983
29929,6768.53375146
957,1011.36888105
784,1953.08766386
722,8596.38916274
623,8202.27731914
1144,20.9740329829
11652,3971.51021551
350,472.368121657
2241,493.816101671
197,413.876252294
52,6877.3064741
160,2054.60642676
587640,38316.1827583
766201,10416.8086592
6269,904.287970895
1614,15269.1803886
649,2688.02794605
14939,4689.0538901
479,519.216147307
82829,1315.39555945
818,3864.20384172
4922,11409.3154178
10052,3229.60158789
2722,18709.2861952
942,2192.68327276
104670,7927.08028976
7581742,3843.96333968
1976,-61.15124097
169,487.467311088
18772,6708.1918456
16619,8580.76392457
857,922.006813092
3233,6594.46034485
6852,7971.29164124
1139228,1915.77101414
138,559.09062996
662,4689.27839591
6401,3554.52161225
1102,4695.68493823
35964,1356.45532851
25796,5608.78703256
413,4344.21192958
45492,2582.8511161
150470,5026.95183621
438,1692.91750588
706,5401.84511134
851,14240.4505194
548,393.17790743
89496,12972.8816084
160,1552.87289242
52939,2871.56823479
1466,1566.67702202
3961,7622.91196025
29323091,7756.51620927
3128,1094.601454
163,1552.79967735
1007,1661.58488771
337,2086.89978789
254,5989.18020853
1560,3465.61118848
137,-100.006899805
429,715.464554057
227,2176.27232875
290,150.381795369
15210,2105.49722869
3001,3939.02197083
13306,14752.2984175
324,2451.95170094
661,4557.58851499
995,1635.41027056
87677,10095.6276348
2798,1310.61017025
674090,3339.33453353
150,2527.88871772
493,1196.0601158
301,1474.1964651
719,2290.96392624
4831,13089.8397376
10686,2480.6464265
7616,2802.80076876
444,1607.88949515
43189,488.331761946
163,2091.27597777
1631,812.513717039
1833,1292.26727392
3297,3166.2135705
1366,5282.36619826
331,2751.9629952
403,5840.04337616
14723,3733.8125736
14848,6199.48819325
446,3012.94185305
6280,616.193397398
5108,7637.83754441
359,2846.30632843
4352,7821.71373547
338,1842.19320705
26768,3801.09386011
455,788.62361022
307,646.64843149
77,564.802401371
138998,1587.50526968
5693,1107.64969399
1294,4116.75712306
1952,4523.53999078
298,3002.12155316
3387,2607.60259156
1975391,2814.6964281
994,4412.76754855
1964208,1457.375829
6925,5180.54862687
235,2814.21525168
412,1051.18704886
596,1410.05939267
238,771.295204479
144,895.669960683
259,2438.02509979
879,1686.89841417
629,1856.24273156
1023,2451.19726716
369,1997.87599955
287,1749.51769511
3216,447.525741974
