actual,predicted
673,2682.43862041
8236,2202.76234158
3671,2117.60750812
281,248.234244549
657,2009.07928338
2158,2108.83776387
17639,1061.32357751
7621,4362.51379899
3953,1545.08301244
71737,2370.91738826
425,2226.20852818
2083,1981.87948609
17855,3173.98957273
4246,2867.74627894
49866,1951.58589242
3283,2731.34156251
721,1831.59053017
1098,2567.67960379
2214,1467.84110274
424,2350.21466724
1612,965.847118222
728,1673.38014167
162,1773.65070942
731,1939.35391726
1019,2134.89649923
694,2711.39236224
420,2334.48934266
333,1568.61850039
214,2797.65720532
90670,1929.05296434
404,1554.43543069
9689,2691.16929579
30956,2819.65720532
19272,2924.65720532
369,2902.72606319
635,2342.59053017
5536,3130.17456928
12170946,3303.79798181
849,1656.3256506
20682,3527.67921164
1538,2297.83088032
1060,2663.08821599
112,1482.02427587
22837000,2667.16389833
635,2223.97758215
268,2991.06944839
1332,2588.79543723
610,1898.99186953
303,1835.80744862
177,1555.11545959
9961,2779.3409856
163,1451.41357198
2247,2018.6471436
910,2083.59247623
5714,2326.41402479
86,700.403152463
404,1936.21728504
319,2115.95942887
778,2733.79709633
468,1682.2392396
1930,3246.43633404
11462,2006.21704836
1768,2975.32085
920,2667.93256448
47160,1708.96810743
13551,2624.59348503
2793,809.049127902
646,2348.6271953
21175053,3174.84955471
2244,2416.61734431
628232,2177.83772075
184,4383.6044981
284,1494.49928313
270,1175.01237013
51296,1584.23824095
346,1171.50624467
21238,2805.51906163
7392,2391.96262719
122,1499.46867394
226,2927.6649268
109,1632.87840038
149072,1953.61668593
1120370,2538.89902648
3841,2665.09287907
465,1568.14799049
2646610,2533.89299117
786,2370.21671286
58796,2628.11003144
1245960,2993.96011521
8271,2077.66929247
1241,2571.81129212
552555,2850.31984406
9104,2167.01772023
47715,2542.66626555
377,2045.49279788
1172,1845.09256138
270,1620.29697372
176,1250.0917636
194,2585.57377063
263,1507.92401781
283,1731.15887633
414,2261.59889367
440,2586.33172414
8322,699.539090549
660,3492.42452983
178,2106.61569292
619,3081.92283922
1268,2976.92972179
972,1582.49205507
458,3446.90618076
2507,2322.1551263
13621,2801.67982471
1620,1656.91994752
645,2407.41206229
2282,2656.49435867
1293,3100.38674395
526,2350.92700514
160,2539.90758035
2035,1187.83420623
1546,2478.79707112
1908370,1892.85135627
1084,2654.81893749
1906,2158.89517851
1290,1987.4116056
149155,3709.80867988
179,1429.12067494
518,889.651966765
88,1877.65372332
2297,2834.95899341
344080,2964.38770131
182,1348.53778748
180,1364.00642878
26851,3331.4401299
237,1476.53641921
17405315,1686.78842956
25957,3172.34724194
1279642,2877.57830875
146884,3130.94445483
4026,2741.72761526
222640,3031.02276753
803,1667.17494241
2980,2806.65720532
27369,3146.65720532
4580,1853.34301172
951,2133.05999688
565,1720.39161571
507,2302.6209011
478,1309.44652912
5895,2930.63332337
4870,1540.94428763
644,1139.0744335
294,3493.26978447
283,3026.89352097
22124,1186.5690334
2842,2153.15361268
188097,3391.24097391
2116,3173.5138967
633,1740.55034061
310426,2196.99930916
6706,1951.01821631
352,1177.2160086
236020,1679.13407751
331,2782.45143729
1420,1490.84898251
1039,2534.99707953
35711,1369.84929526
676,2968.97816086
2049,4270.96538745
6225,4376.66114741
576,2665.93977948
431,2103.556531
320,671.943329484
187,3109.97336378
85318,2774.19650858
435,1686.81923808
708,2359.25754958
10968755,2313.57519357
3226,2998.29037805
837,2941.65720532
1014,680.592949626
588477,2938.0384959
6148,2850.31828585
3874,1589.4978762
201,1664.76457995
2926,2891.7318079
29071,2705.43015379
710,2575.2769282
154,1195.70573209
303,673.836676341
1188,1901.13061996
361,1373.59041205
3769,1909.45118041
1844,1853.24104764
6905,2689.5249895
91009,2832.98641337
52722,1803.73353602
511,2598.26546375
436,2695.72899176
897,1507.36375709
8591,1533.54130088
6773,5089.31835866
285,2331.42425501
1520,1608.28415022
