actual,predicted
350,1536.78606852
5407,1746.4941495
2144,1440.26431607
3138,2650.89076363
54383,2445.32232385
1056,1737.86048089
645,2402.25725761
409,1474.01668239
16354,2137.79119127
448141,2658.93171629
9135,2340.84198752
783,2787.13597491
2618,3092.17477404
10569,2474.98438463
613,1393.92456042
97411,1938.67585201
700,-105.766254952
762,2231.88287047
259,1038.66804249
437,1638.33051977
3005,1225.53591129
95383,2301.24494569
3857,1989.47134132
771,2403.59349739
1636,1411.34355913
3007,1771.17857587
586,2974.96720598
211,1121.5964483
17953,3137.68891855
1977,1939.2884036
2467,1751.72645808
5387,2176.49374778
4842,2392.51673961
21695,3389.42101242
354,2493.2437378
298670,2355.54624041
324310,1367.50362095
651,2178.45277693
876,1143.8568716
1034,2497.29848854
5771,2695.7404578
314,1871.83075719
2438,3259.82593642
779,1324.83469189
205,1764.61024826
1515,2518.97769507
476,1739.54647863
7030,1579.54438343
67226,1154.28615163
4782,2562.73105393
352761,1181.19996795
858,2715.69335292
931,2578.718518
862,1800.16330834
1558,2782.88706216
6366,2775.84225597
1751,1869.22433798
2657,3034.05890743
1904,2581.5391592
2400,1758.06225565
6529,3065.44030859
183,2391.2884036
803,1053.75551457
168,2327.03818524
14824,1613.97358302
704,2478.88823295
61014,2755.218184
807,2952.78317049
630460,2100.68081989
635,2096.38713186
897,1679.32311726
996,1580.99070844
65171,2577.19612119
1787,1991.02914421
167,1865.5539815
775959,3234.80512837
289,1694.22834683
80201,1394.91008427
1512,2701.15909795
18000345,1994.09015128
538,1784.02164916
6035,2629.80512837
2325927,2729.03799458
821,2468.92539958
1727,1989.68701566
2481,2263.86901822
4840,3021.76834124
637,2660.12897177
757,1417.99648625
61827,2455.91618444
72783,1637.33691532
4764,2588.04542338
8801,2093.28700635
167,1458.04372721
1303,2552.74400263
18662,3171.01260659
1412,928.372150952
468,1276.88170723
4491,1609.8410169
5566,2779.80512837
3243,3032.42849292
787,2137.2884036
1118,1402.43226286
3130,2822.89372806
572683,3382.96667553
383,2863.29862926
324,1830.55464327
18549,2202.6266792
2461,1823.47228409
218,3030.63808275
798,2557.98689783
10426,2465.64915411
836,1116.97932058
366,3077.93880701
24837,2130.25190661
2950,1450.94544909
695,2392.22479641
7731,2900.65851323
1759,2066.41139848
2984,2713.09623433
1314,621.928919404
42942,-111.375771854
253,2499.40527976
4443,2347.2885356
468,2032.91929656
660,2765.57909553
3108,2526.48968536
274,2737.30925888
463,1606.72564563
355,2036.66452766
2504,1956.68464365
325,1474.47100402
3002,2910.18454938
316,1851.68985299
531,2667.12693702
1788,1502.07929319
1153,2097.58658662
809,2961.65483789
356146,1934.61731447
886,2601.07394184
19206,2762.37792451
3616,2704.82197572
190,2235.73298867
5057,2071.75345954
9170,2692.77834254
251895,3908.94689937
824,2345.53514543
4979,1785.10497284
13293,2028.80508246
88973,2842.51618445
484,1171.20583343
254864,2725.63762756
37501,1611.47974414
5996,1704.46364635
749,1384.83612571
492345,3029.10241158
1363,969.171532059
733,1498.31040772
4819,1486.14616056
79974,2233.73767149
166,2613.13224833
20538,2907.74965872
68,539.101766908
328471,2480.59245059
1442,1104.76645812
121,2501.7200853
3055,2208.11998434
74748,3122.62611963
961,2501.75413875
2605,1141.49172335
46671,1908.8499396
368,1440.25191833
315,1792.23928165
1351,2698.05194356
491,2227.80841936
313,1242.92283171
8837,3064.91669885
10743,2742.16102806
89,1126.98431251
538,2497.89106931
729,1643.93734516
17214,2392.57708614
779,1244.51679304
2028,2442.50225887
134,1523.13109083
35608,1803.68152385
1325,3245.99866204
3159,2731.09141255
1235,2724.86995382
1936,1367.31013251
1656,2523.26800358
111,1800.63222911
1662,2628.17018347
31598,2637.82711646
31353,1682.50355593
2347,1807.91850826
927,2840.97328266
1255,1094.29943167
101,1321.7607727
1978,2633.73696622
351,1066.940231
852,755.082835589
1786,1844.2884036
389,437.839165328
130,888.065914918
1696,2768.84216744
672,-31.1320981147
724,2619.20400419
171,1196.64758881
649566,1765.25843302
58891,3149.55906678
15172,1501.67784639
17979,2043.07429686
38656,2446.60847328
28177,2189.67415778
482,1571.31040772
1060,2976.02627288
151587,2077.88935569
1329,2755.04265083
14518,1702.6028331
227939,3736.34376154
15214,1862.26875878
3221,1990.06673759
28536,2641.9955898
1323,4460.00833297
9373,2777.35711953
1913,1512.31040772
714,2262.22404707
189,1187.29832633
9196,2562.58002723
950,3032.74378088
682,2792.65081867
3128,2448.94473255
302,2369.50751381
2708,3076.20707757
89,931.167956847
3045,2992.4810569
2476125,2583.94738758
128,2281.77045044
122938,2678.66076461
4281,2709.87337623
533,2040.88935569
2982651,2822.81272892
557,1579.6080764
180,1846.80825479
72798004,2797.08219247
1293,2307.18721907
1939,2372.6150826
142,1585.42304667
945,1699.09204803
2742,1356.33960045
1502,1698.37563134
1767,1666.78430158
88140,2891.80512837
699,2916.97498423
326,1320.9797275
735,1208.9659206
520,1743.48579266
1549,1691.67813975
1830,2358.24092597
377,1949.09626909
5824,1043.9850037
260733,2158.90255629
1130,451.22335925
9665,1913.76875702
1222,1127.23518215
364,1693.76438029
286,2173.89371078
406,1723.14020311
592,1969.16287538
652,1788.32373346
147,1460.68437678
3743,3142.44303384
260557,1676.63388177
24929,3031.49867226
966,1916.23293394
64,583.668579008
9984,1000.94251248
649,2669.09710533
2152,2535.61980364
168,1130.94090337
4390,1280.24121241
825,1499.39479876
3997,3183.08394309
589,1641.49381561
24019,1236.7363547
171080,2359.32546349
48395,2727.80512837
281,1619.80835059
254,897.751615083
4734,2714.21202014
11547,574.057296705
668,1369.12916655
2289,2429.83170664
1682,1750.32172689
50355,2685.60452689
207019,3245.15775329
34170,2924.34907152
74599,1509.68825323
8352173,3030.62284731
109,1693.05095917
260451,2473.38805677
242,2579.03047329
41604,2071.81284782
59595,2180.76509245
311521,2687.62133032
306,1983.52560862
152,905.060316825
618,3088.40772742
680,990.64160781
9755,2935.35759174
286,2587.0861407
1478,589.636980837
14031,2605.37591719
8319,2750.19049414
11964,2795.1921545
1264,356.925017986
281,1197.74846221
54645,1371.99621958
253,1836.95278695
463,1373.88297522
1191,1452.21293021
16937,2932.37191313
1932,2598.26915042
76664,2973.72595761
4274,2038.5870468
120,2214.45847794
632,588.080480684
7198232,2636.37072471
13298,2749.93683716
367,2397.77314587
1533,2254.88821244
217022,2166.03647357
7806,1839.85460834
2596,2608.44003727
735,1653.52687698
260,1028.08090037
8079,2548.29848854
26875,2556.07871063
1308,2639.89408699
134,1807.92571228
382934,2707.84544214
79548,2883.67563887
6022480,2596.85330741
47866209,2677.69386032
1627,675.348975635
114297,2598.08845976
147,1343.61855763
1228,2460.47557531
378,1548.27869953
1967,1881.89850255
381,946.870118614
419,2519.56456078
352,2455.92923913
901,1341.52362138
340,1729.36336936
1110,2482.72821107
1569,2335.26312184
229,2034.98222127
1519,2438.41361661
410,1091.8590593
334,2374.61669532
314,2203.57949102
5850,2710.77834254
1795,2158.0773741
3124,2742.53513896
306,1981.2884036
1893,2458.94308034
4984,3263.43568439
146,305.092525388
181,2598.19850281
1203,2756.91820829
947,1226.32721376
1863,384.741516784
357,1993.43676523
1113,1900.73920397
545,1893.09980562
209893,2550.24290684
1217,1504.77987929
272,2811.02025823
19325,1841.42370092
4106,1774.71298027
805196,2861.03221456
1740,1832.29728309
134,1394.90594302
3209,2179.88636339
1041,416.621678994
6303,1057.30717825
78425,1890.23411483
1784,2052.86676367
815,1320.31040772
29028,2210.33610131
2892,1469.28449623
3973,4085.27093198
391,2275.37032297
22831,3517.88347252
386,1100.32645819
528,2540.18028555
719,2689.12900014
42292,1270.07559089
68735,1718.73389392
389,1495.00984563
6024533,1196.55984637
1788,3402.41184642
2163,1338.49740667
2045,1543.85897324
1057,2287.35285824
145367,2694.63005793
1607830,1995.9579797
42872,2545.56314451
4986,2969.41943242
294,1216.6676931
1357,2029.38219109
4375,3144.75257955
579,841.559775265
799,1915.36530852
497,1939.59326029
82638,2548.33519785
1008,2596.80512837
10418,2773.80512837
3310,2911.31649508
703,2452.91748858
340,2131.88935569
881,2723.84137142
105,2501.03032373
550,2655.83328391
724,1216.55933406
223,763.363246044
148,1962.08027926
455,1492.90924212
267132,2683.47281712
195,1520.53371955
1765,1850.5067727
